Title,Authors,Publisher,Published Date,Description,ISBN-13
Thirst,Scott Harrison,Currency,2018-10-02,"NEW YORK TIMES BESTSELLER • An inspiring personal story of redemption, second chances, and the transformative power within us all, from the founder and CEO of the nonprofit charity: water. At 28 years old, Scott Harrison had it all. A top nightclub promoter in New York City, his life was an endless cycle of drugs, booze, models—repeat. But 10 years in, desperately unhappy and morally bankrupt, he asked himself, ""What would the exact opposite of my life look like?"" Walking away from everything, Harrison spent the next 16 months on a hospital ship in West Africa and discovered his true calling. In 2006, with no money and less than no experience, Harrison founded charity: water. Today, his organization has raised over $400 million to bring clean drinking water to more than 10 million people around the globe. In Thirst, Harrison recounts the twists and turns that built charity: water into one of the most trusted and admired nonprofits in the world. Renowned for its 100% donation model, bold storytelling, imaginative branding, and radical commitment to transparency, charity: water has disrupted how social entrepreneurs work while inspiring millions of people to join its mission of bringing clean water to everyone on the planet within our lifetime. In the tradition of such bestselling books as Shoe Dog and Mountains Beyond Mountains, Thirst is a riveting account of how to build a better charity, a better business, a better life—and a gritty tale that proves it’s never too late to make a change. 100% of the author’s net proceeds from Thirst will go to fund charity: water projects around the world.",9781524762858.0
The Torch Is Passed: A Harding Family Story,Bill Powers,Harding Family Story,2016-02-04,"Andrea Harding is a recent college graduate looking forward to attending Duke Law School when her world is turned upside down by the shooting of her father, Nicholas, and uncle, Michael, in a surprising and puzzling attack. They are the only family she has, aside from her paternal grandmother Dorothy, so when her uncle dies from the attack and her father lays comatose in ICU, it falls to Andrea to not only investigate who would want to kill her father and uncle, but also to oversee Harding Industries, the family company. When her father's longtime attorney and one of a handful of family friends, Beth Cowling, rushes to help Andrea long distance, the youngest Harding soon finds herself surrounded by a bevy of intriguing new friends and helpers. First to arrive is Beth's own daughter, Riva, acting as Andrea's attorney after Andrea is violently attacked in her father's home, where she grew up, forcing her to kill both would-be assassins. When Nicholas's on again/off again lover, state prosecutor and gubernatorial hopeful Kerry Marcus, is equally at a loss to name suspects in the Harding family attacks, Riva begins her own investigation into the short list of family friends and colleagues, including Don Marshall, former colleague of Nicholas's at Marshall Pharmaceutical, which Don now runs, and Don's wife Karen. Marshall has a shady past, including an incident at his company that also involved Andrea's father. She also looks closely at Marcus Ricci, father of Andrea's closest high school friend, Jason. After Jason's death from leukemia, Ricci becomes like a second father to Andrea. Ricci is also widely believed to have ties to the New Jersey mob. But Beth has another contact she wants involved in the investigation, Deirdre Southington, daughter of Beth's old friend Cordelia Southington. The Southington family has more money than God, as well as, through Deirdre, more contacts in the intriguing world of international espionage. A former NSA agent, Deirdre is mysterious and beautiful in a cold way. An eccentric who travels via private rail car, she is also extraordinarily persuasive, holding a PhD in forensic psychology that she has put to great use in both her work with the NSA and on her own, as a defender of good, rooting out evil doers and ensuring they are brought to her own brand of justice. Andrea, Riva, and Deirdre all also cast a suspicious eye on the Oakes brothers, Carlton and Jefferson, who run Oakes Industries along with their silent partner and cousin, New Jersey state senator Schuyler Colfax, who also has his eye on the governor's seat. Oakes Industries has recently made an attempt to purchase Harding Industries, a seemingly irrational move that is rebuffed by Nicholas. What no one knows until much later is that the Oakes brothers have entered into a business deal with Russian mobster Viktor Roman, who represents the real party interested in acquiring Harding Industries, a Vor, Russian organized crime unit, with heavy international interests in the energy sector. Andrea matures quickly as she rapidly learns who she can and cannot trust during her search for the people out to kill her family. Along with her new friends and advocates, she discovers Harding Industries holds a soon to expire option to buy property that could become the source of untold billions from oil reserves, and moves in the nick of time to exercise their right to purchase. But the biggest blow for the Harding family is yet to come--the discovery that Viktor Roman has promised Kerry Marcus the governor's seat in exchange for information about the Hardings, including Nicholas and Michael's whereabouts on the night they are shot. Ultimately, Andrea chooses to forego law school and becomes her father's new partner in Harding Industries, no doubt with many adventures yet to come. Masterfully told using a smattering of historical facts along with a soundtrack of classical music masterpieces, this thriller keeps readers on edge until the very end.",9781682226780.0
The Secret of Dreadwillow Carse,Brian Farrey,Algonquin Books,2017-05-02,"A princess and a peasant girl embark on a dangerous quest to outwit a warning foretelling the fall of the Monarchy. In the center of the verdant Monarchy lies Dreadwillow Carse, a desolate bog the people of the land do their best to ignore. Little is known about it except an ominous warning: If any monarch enters Dreadwillow Carse, then the Monarchy will fall. Twelve-year-old Princess Jeniah yearns to know what the marsh could conceal that might topple her family’s thousand-year reign. After a chance meeting, Princess Jeniah strikes a secret deal with Aon, a girl from a nearby village: Aon will explore the Carse on the princess’s behalf, and Jeniah will locate Aon’s missing father. But when Aon doesn’t return from the Carse, a guilt-stricken Jeniah must try and rescue her friend—even if it means risking the entire Monarchy. In this thrilling modern fairytale, Brian Farrey has created an exciting new world where friendship is more powerful than fate and the most important thing is to question everything.",9781616206970.0
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",Ree Drummond,HarperCollins,2015-10-20,"The #1 bestselling author and Food Network personality at last answers that age-old question—“What's for Dinner?”—bringing together more than 125 simple, scrumptious, step-by-step recipes for delicious dinners the whole family will love. For families juggling school, work, and a host of other time-consuming daily obligations, the idea of making dinner from scratch can be daunting. Ree Drummond makes it easy for families to make simple, scrumptious, homemade meals with minimum fuss and maximum enjoyment. The Pioneer Woman Cooks: Dinnertime includes delicious, easy-to-make recipes for comfort classics, 16-minute meals, freezer-friendly food, as well as soups, main dish salads, and a favorite of her own family: breakfast for dinner. You’ll find more than 125 fast-and-delicious recipes that combine pantry staples with fresh ingredients, including Beef Stroganoff, Chicken Taco Salad, Pasta Puttanesca, Ready-to-go freezer Meatballs (and many dinners you can make with them!), Oven Barbecue Chicken, Mexican Tortilla Casserole, Veggie Chili, Beef with Snow Peas, and many, many more. Included is a section of mouthwatering quick desserts—literally the icing on the cake. Filled with Ree’s signature step-by-step photos, relatable humor, and irresistible, folksy charm, The Pioneer Woman Cooks: Dinnertime is the go-to cookbook every home cook can rely on for any—and every—night of the week.",9780062225252.0
The Past Never Ends,Jackson Burnett,Createspace Independent Publishing Platform,2017-08-08,".."". a fast-paced read that pulls together into a surprising ending."" - the 5 star review from Open Book Society A simple task, Attorney Chester Morgan thinks. Obtain a copy of the incident report for a young man whose only friend has died in an unexplained accidental death. Except... The police file regarding the demise of sex worker Tanya Everly has been sealed by order of the chief of police, and no one will talk. Warned to drop the matter, Attorney Morgan knows that if he doesn't speak for the dead young woman, no one will. Haunted by his discovery of the body of a prominent local oilman, Morgan pursues a disturbing quest for justice that takes him into the dark shadows of the sex-for-sale business, into the marble courtrooms of Oklahoma, and into the aching loneliness of his own soul. Attorney Chester Morgan may speak for Tanya Everly, but will anyone listen? From the Currentland review: ""Jackson Burnett is a vivid wordsmith, telling his story with genius strokes of color and depth. His language is both fluid and elegantly descriptive."" Set in the American Southwest in the days before 9/11, The Past Never Ends is both a complex murder mystery and a meditation on the self-perpetuating nature of injustice and the ethereal nature of justice itself.",9781545253168.0
The Natural History of Us (The Fine Art of Pretending #2),"Lecturer in Music School of Oriental and African Studies Rachel Harris, L.C.S.W., PH.D., Rachel Harris",Spencer Hill Contemporary,2014-09-30,"According to the guys at Fairfield Academy, there are two types of girls: the kind you hook up with, and the kind you're friends with. Seventeen-year-old Alyssa Reed is the second type. And she hates it. With just one year left to change her rank, she devises a plan to become the first type by homecoming, and she sets her sights on the perfect date-Justin Carter, Fairfield Academy's biggest hottie and most notorious player. With 57 days until the dance, Aly launches Operation Sex Appeal and sheds her tomboy image. The only thing left is for Justin actually to notice her. Enter best friend Brandon Taylor, the school's second biggest hottie, and now Aly's pretend boyfriend. With his help, elevating from funny friend to tempting vixen is only a matter of time. But when everything goes according to plan, the inevitable break up leaves their friendship in shambles, and Aly and Brandon with feelings they can't explain. And the fake couple discovers pretending can sometimes cost you the one thing you never expected to want.",9781939392282.0
The Nameless City (The Nameless City #1),"Faith Erin Hicks, Jordie Bellaire",Macmillan,2016-04-05,"Every time it is invaded the City gets a new name, but to the natives in is the Nameless City, and they survive by not letting themselves get involved--but now the fate of the City rests in the hands of Rat, a native, and Kaidu, one of the Dao, the latest occupiers, and the two must somehow work together if the City is to survive.",9781626721562.0
The Murder That Never Was (Forensic Instincts #5),Andrea Kane,Forensic Instincts,2017-05-16,"Given the opportunity, would you assume someone else's identity and leave your old life behind? A serendipitous crossing of paths between Lisa Barnes, a down-on-her-luck job seeker, and Julie Forman, a personal trainer to an Olympic hopeful, forever changes the course of both women's lives. One winds up dead and the other finds herself a fugitive, hiding behind one lie after another as a cold-blooded killer methodically hunts her. Desperately trying to stay alive, the terrified woman enlists the help of Forensic Instincts, a rogue investigative team that clandestinely operates in the gray area between legal and illegal. Safeguarding their client's deception, Forensic Instincts digs into dangerous territory as they try to find out who's after their client-and why. Meanwhile, bodies are piling up in Chicago, New Jersey, and Vermont as a megalomaniacal genius will stop at nothing to eradicate anyone who threatens the success of his medical breakthrough. With an unhinged client and a monstrous criminal enterprise as its adversary, Forensic Instincts is forced into uncharted territory to protect their client and save one of their own from becoming the next corpse. Forensic Instincts is an unorthodox, criminal investigative team that carefully navigates the fine line between legal and illegal. The team consists of a behaviorist, a former Navy SEAL, a techo-wiz, an intuitive, a pickpocket, a retired FBI agent, and a human scent evidence dog.",9781682320099.0
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,Tim Birkhead,Bloomsbury Publishing USA,2016-04-12,"A bird's egg is a nearly perfect survival capsule--an external womb--and one of natural selection's most wonderful creations. Shortlisted for the Royal Society Insight Investment Science Book Prize 2016.One of Forbes' Best Books About Birds and Birding in 2016. Renowned ornithologist Tim Birkhead opens this gripping story as a female guillemot chick hatches, already carrying her full quota of tiny eggs within her undeveloped ovary. As she grows into adulthood, only a few of her eggs mature, are released into the oviduct, and are fertilized by sperm stored from copulation that took place days or weeks earlier. Within a matter of hours, the fragile yolk is surrounded by albumen and the whole is gradually encased within a turquoise jewel of a shell. Soon the fully formed egg is expelled onto a rocky ledge, where it will be incubated for four weeks before a chick emerges and the life cycle begins again. THE MOST PERFECT THING is about how eggs in general are made, fertilized, developed, and hatched. Birkhead uses birds' eggs as wondrous portals into natural history, enlivened by the stories of naturalists and scientists, including Birkhead and his students, whose discoveries have advanced current scientific knowledge of reproduction.",9781632863713.0
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy","John P. Forsyth, Georg H. Eifert",New Harbinger  Publications,2016-04-01,"Is anxiety and fear a problem for you? Have you tried to win the war with your anxious mind and body, only to end up feeling frustrated, powerless, and stuck? If so, you’re not alone. But there is a way forward, a path into genuine happiness, and a way back into living the kind of life you so desperately want. This workbook will help you get started on this new journey today! Now in its second edition, The Mindfulness and Acceptance Workbook for Anxiety offers a new approach to your anxiety, fears, and your life. Within its pages, you’ll find a powerful and tested set of tools and strategies to help you gain freedom from fear, trauma, worry, and all the many manifestations of anxiety and fear. The book offers an empowering approach to help you create the kind of life you so desperately want to live. Based on a revolutionary approach to psychological health and wellness called acceptance and commitment therapy (ACT), this fully revised and updated second edition offers compelling new exercises to help you create the conditions for your own genuine happiness and peace of mind. You’ll learn how your mind can trap you, keeping you stuck and struggling in anxiety and fear. You’ll also discover ways to nurture your capacity for acceptance, mindfulness, kindness, and compassion, and use these qualities to weaken the power of anxiety and fear so that you can gain the space do what truly matters to you. Now is the time. Nobody chooses anxiety. And there is no healthy way to “turn off” anxious thoughts and feelings like a light switch. But you can learn to break free from the shackles of anxiety and fear and take back your life. The purpose of this workbook is to help you do just that. Your life is calling on you to make that choice, and the skills in this workbook can help you make it happen. You can live better, more fully, and more richly with or without anxiety and fear. This book will show you the way. -- Recent studies support for the effectiveness of ACT-based self-help workbooks as a low-cost treatment for people experiencing anxiety. (Ritzert, T., Forsyth, J. P., Berghoff, C. R., Boswell, J., & Eifert, G. H. (2016). Evaluating the effectiveness of ACT for anxiety disorders in a self-help context: Outcomes from a randomized wait-list controlled trial. Behavior Therapy, 47, 431-572.)",9781626253360.0
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Marie Kondo,Ten Speed Press,2014-10-14,"#1 NEW YORK TIMES BESTSELLER • The book that sparked a revolution and inspired the hit Netflix series Tidying Up with Marie Kondo: the original guide to decluttering your home once and for all. ONE OF THE MOST INFLUENTIAL BOOKS OF THE DECADE—CNN Despite constant efforts to declutter your home, do papers still accumulate like snowdrifts and clothes pile up like a tangled mess of noodles? Japanese cleaning consultant Marie Kondo takes tidying to a whole new level, promising that if you properly simplify and organize your home once, you’ll never have to do it again. Most methods advocate a room-by-room or little-by-little approach, which doom you to pick away at your piles of stuff forever. The KonMari Method, with its revolutionary category-by-category system, leads to lasting results. In fact, none of Kondo’s clients have lapsed (and she still has a three-month waiting list). With detailed guidance for determining which items in your house “spark joy” (and which don’t), this international bestseller will help you clear your clutter and enjoy the unique magic of a tidy home—and the calm, motivated mindset it can inspire.",9781607747314.0
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",Helene Segura,New World Library,2016-03-13,"Slay Procrastination, Distraction, and Overwhelm! Who doesn’t want more time and energy for family, friends, and personal passions? Author Helene Segura coaches real people in the real world to operate more efficiently during the workday, so they can have a life outside it. Her engaging time management program caters to diverse learning styles, offering case studies that allow readers to self-diagnose and zero in on the strategies most appropriate for them. Anyone wanting to streamline workflow and improve productivity can employ her wonderfully doable techniques — for clearing task lists, handling reminder systems, scheduling a variety of priorities, and even managing emails and phone calls. Thanks to Segura’s astute attention to personality, The Inefficiency Assassin meets readers where they are struggling and details quick and easy-to-implement strategies to, as Segura promises, “kick chaos to the curb.”",9781608684007.0
The Gutsy Girl: Escapades for Your Life of Epic Adventure,Caroline Paul,Bloomsbury Publishing USA,2016-03-01,"NEW YORK TIMES BESTSELLER From the author of You Are Mighty, a real-life derring-do woman, a collection of exhilarating stories, activities, and tips to inspire girls to pursue a life of adventure and excitement. Why should girls miss out on the joy of adventure? They can jump off rocks, swing on ropes, and climb trees just as well as boys can. But girls often allow fear to stand in their way. In The Gutsy Girl, author Caroline Paul emboldens girls to seek out a life of exhilaration. Once a young scaredy-cat herself, Caroline decided that fear got in the way of the life she wanted--of excitement, confidence, self-reliance, friendship, and fun. She has since flown planes, rafted big rivers, climbed tall mountains, and fought fires as one of the first female firefighters in San Francisco. In The Gutsy Girl, she shares her greatest escapades as well as those of other girls and women from throughout history, and offers engaging activities such as confidence-building stances, creating a compass, positive self-talk, and using crickets to estimate outside temperatures. Each section includes a place for girls to “journal” their adventures, thus encouraging a new generation to develop a zest for challenges and a healthy relationship to risk. The Gutsy Girl is Lean In for young girls, a book about the glorious things that happen when you unshackle from fear and open up to exhilaration. Fully illustrated and enlivened throughout by bestselling illustrator Wendy MacNaughton's whimsical pen-and-ink drawings.",9781632861245.0
The Electric Pencil: Drawings from Inside State Hospital No. 3,James Edward Deeds,Chronicle Books,2016-03-29,"Deeds's subtle, meticulous, and wildly imaginative pencil and crayon drawings portray an unusual cast of characters: nineteenth-century dandies, Civil War soldiers, antique cars, fantastic boats and trains, country landscapes dotted with roaming animals, and fanciful architecture. None of these existed in the actual mid-twentieth-century landscape of Deeds's own life, but rather were representations of his inner world—an artist's poignant tribute to a faded past. Deeds lovingly bound his artwork in a cardboard and leather portfolio, a present for his mother. After being accidentally discarded in 1970, the album was rescued from the trash by a young boy and, thirty-six years later, came into the hands of artist and collector Harris Diamant, who provides the book's foreword. The Electric Pencil features all 283 of Deeds's arresting drawings—now avidly collected—done on ledger sheets from State Hospital No. 3 in Nevada, Missouri, and reproduced in the sequence of the original album. The Electric Pencil introduces readers to an astonishing record of one man's unwavering artistic vision in the face of the most inhospitable conditions.",9781616895013.0
The Death of Humanity: and the Case for Life,Richard Weikart,Salem Books,2016-04-04,"Do you believe human life is inherently valuable? Unfortunately, in the secularized age of state-sanctioned euthanasia and abortion-on-demand, many are losing faith in the simple value of human life. To the disillusioned, human beings are a cosmic accident whose intrinsic value is worth no more than other animals. The Death of Humanity explores our culture's declining respect for the sanctity of human life, drawing on philosophy and history to reveal the dark road ahead for society if we lose our faith in human life.",9781621574897.0
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",Dave Asprey,Rodale Books,2014-12-02,"In his mid-twenties, Dave Asprey was a successful Silicon Valley multimillionaire. He also weighed 300 pounds, despite the fact that he was doing what doctors recommended: eating 1,800 calories a day and working out 90 minutes a day, six times a week. When his excess fat started causing brain fog and food cravings sapped his energy and willpower, Asprey turned to the same hacking techniques that made his fortune to ""hack"" his own biology, investing more than $300,000 and 15 years to uncover what was hindering his energy, performance, appearance, and happiness. From private brain EEG facilities to remote monasteries in Tibet, through radioactive brain scans, blood chemistry work, nervous system testing, and more, he explored traditional and alternative technologies to reach his physical and mental prime. The result? The Bulletproof Diet, an anti-inflammatory program for hunger-free, rapid weight loss and peak performance. The Bulletproof Diet will challenge—and change—the way you think about weight loss and wellness. You will skip breakfast, stop counting calories, eat high levels of healthy saturated fat, work out and sleep less, and add smart supplements. In doing so, you'll gain energy, build lean muscle, and watch the pounds melt off. By ditching traditional ""diet"" thinking, Asprey went from being overweight and sick in his twenties to maintaining a 100-pound weight loss, increasing his IQ, and feeling better than ever in his forties. The Bulletproof Diet is your blueprint to a better life.",9781623365196.0
The Art Forger,B. A. Shapiro,Algonquin Books,2013-05-21,"Don't miss B. A. Shapiro's new novel, Metropolis, available now! “[A] highly entertaining literary thriller about fine art and foolish choices.” —Parade “[A] nimble mystery.” —The New York Times Book Review “Gripping.” —O, The Oprah Magazine Almost twenty-five years after the infamous art heist at the Isabella Stewart Gardner Museum—still the largest unsolved art theft in history—one of the stolen Degas paintings is delivered to the Boston studio of a young artist. Claire Roth has entered into a Faustian bargain with a powerful gallery owner by agreeing to forge the Degas in exchange for a one-woman show in his renowned gallery. But as she begins her work, she starts to suspect that this long-missing masterpiece—the very one that had been hanging at the Gardner for one hundred years—may itself be a forgery. The Art Forger is a thrilling novel about seeing—and not seeing—the secrets that lie beneath the canvas.",9781616203184.0
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,A. C. Grayling,Bloomsbury Publishing USA,2016-03-01,"The Age of Genius explores the eventful intertwining of outward event and inner intellectual life to tell, in all its richness and depth, the story of the 17th century in Europe. It was a time of creativity unparalleled in history before or since, from science to the arts, from philosophy to politics. Acclaimed philosopher and historian A.C. Grayling points to three primary factors that led to the rise of vernacular (popular) languages in philosophy, theology, science, and literature; the rise of the individual as a general and not merely an aristocratic type; and the invention and application of instruments and measurement in the study of the natural world. Grayling vividly reconstructs this unprecedented era and breathes new life into the major figures of the seventeenth century intelligentsia who span literature, music, science, art, and philosophy--Shakespeare, Monteverdi, Galileo, Rembrandt, Locke, Newton, Descartes, Vermeer, Hobbes, Milton, and Cervantes, among many more. During this century, a fundamentally new way of perceiving the world emerged as reason rose to prominence over tradition, and the rights of the individual took center stage in philosophy and politics, a paradigmatic shift that would define Western thought for centuries to come.",9781620403457.0
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,William Martin,New World Library,2016-04-01,"Change and anger are in the air. “We are the 99%,” “black lives matter,” and “love is love” have become part of the lexicon. Previously unquestioned institutions (police, military, the NSA) are under scrutiny. Heat waves, floods, and earthquakes seem to be increasing. Could there be a silver lining? William Martin turns to the Tao Te Ching and finds that while Taoism is known for its quiet, enigmatic wisdom, the Tao can also have the cleansing force of a rushing river. Martin elucidates these revolutionary messages condemning power seeking and greed. He emphasizes that humans have a “Te” that can help them heal the planet; shows how Taoism’s “simplicity” can be subversive and its flexibility a potent force; and reassures us that “When injustice is the rule, justice lies in wait.” Provocative and stirring, Martin’s Tao flows within and through those who ride the waves of anger and frustration, “and gently guides [them] to true freedom.”",9781608683925.0
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,Marie Kondo,Ten Speed Press,2016-01-05,"NEW YORK TIMES BESTSELLER • The star of the hit Netflix series Tidying Up with Marie Kondo and author of The Life-Changing Magic of Tidying Up helps you visualize your ideal lifestyle. Japanese decluttering guru Marie Kondo has revolutionized homes—and lives—across the world. Now, Kondo presents an illustrated guide to usingher acclaimed KonMari Method to create a joy-filled home that works the way you need it to. Spark Joy features step-by-step folding illustrations for everything from shirts to socks, plus drawings of perfectly organized drawers and closets. Kondo also answers frequently asked questions, such as whether to keep “necessary” items that may not bring you joy. With guidance on specific categories including kitchen tools, cleaning supplies, hobby goods, digital photos, and even building your own personal “power spot” in your home, this comprehensive companion is sure to spark joy in anyone who wants to simplify their life.",9781607749738.0
Soul Reader,Dianne Bright,N/A,2015-04-07,"Jennifer Mills enjoys her San Diego soccer-mom lifestyle. But it all changes the day she meets Jadan, an attractive paraplegic day trader with a turquoise gate tattoo. He can read her mind and press his thoughts into her head without speaking.She is supernatural: Jennifer discovers her new identity as the daughter of Zyon, head military guard to the King of the Realm Beyond. For now, she can only visit in her dreams and visions. Can she make their world part of her own reality as well?She is mystical: Jadan gives Jennifer three mystical gems-- red for hiding her identity, yellow to calm her, and orange to guide her in flight. Each one draws her closer to her new nature, pulling her away from the earthly realm. Will she be able to hang on?She is conflicted: Jennifer must leave her children to go on a save-the-world medallion hunt. But that means she must choose a divided life, and she's not sure she can do both well. She has major concerns for her best friend, Kristin, who gets mixed up with bad blood. Can she save her too?",9781544920221.0
Security,Gina Wohlsdorf,Algonquin Books,2017-05-23,"“Original and imaginative . . . Ripping suspense, sheer terror, and a wrenching love story.” —Sandra Brown, New York Times bestselling author of Friction The terrible truth about Manderley is that someone is always watching. Manderley Resort is a gleaming, new twenty-story hotel on the California coast. It’s about to open its doors, and the world--at least those with the means to afford it--will be welcomed into a palace of opulence and unparalleled security. But someone is determined that Manderley will never open. The staff has no idea that their every move is being watched, and over the next twelve hours they will be killed off, one by one. Writing in the tradition of Edgar Allan Poe and Stephen King, and with a deep bow to Daphne du Maurier, author Gina Wohlsdorf pairs narrative ingenuity and razor-wire prose with quick twists, sharp turns, and gasp-inducing terror. Security is grand guignol storytelling at its very best. A shocking thriller, a brilliant narrative puzzle, and a multifaceted love story unlike any other, Security marks the debut of a fearless and gifted writer. “Be surprised, be very surprised: Gina Wohlsdorf brings more than just plot twists and a terrifically tender love story to this thriller . . . It’s her playful homage to Hitchcock and du Maurier that had me reading, howling, and just plain loving this novel.” —Sara Gruen, author of At the Water’s Edge “Grand Hotel meets Psycho in the age of surveillance . . . Security is cinematically vivid, crisply written, and sharp enough to cut . . . Wohlsdorf brilliantly subverts our expectations of the action genre in this smart, shocking, poignant thriller.” —Emily Croy Barker, author of The Thinking Woman’s Guide to Real Magic “The thrill of this novel goes beyond its wickedly clever, split-screen, high-tech wizardry—a kind of video gamer’s literary retake of Hitchcock’s Rear Window--and emanates from its strange, disembodied narrator . . . The effect is terrifying, sexy, dizzying, and impossible to look away from.” —Tim Johnston, author of Descent “Shocking and filled with Tarantino-ish dark humor. . . Structurally reminiscent of the amazing Jennifer Egan,Wohlsdorf’s book is certainly a hybrid, like nothing else. Get ready.” —Ann Beattie, author of The State We’re In “Flawless . . . Security is perfectly tuned for blockbuster status . . . They don’t make a hotel big enough to house all the people who will want to read this, and soon, as in Manderley, all eyes will be on Wohlsdorf.” —Daniel Kraus, Booklist, starred review",9781616206932.0
"Saga, Volume 6 (Saga (Collected Editions) #6)",Brian K. Vaughan,N/A,2016-07-05,"After a dramatic time jump, the three-time Eisner Award winner for Best Continuing Series continues to evolve, as Hazel begins the most exciting adventure of her life: kindergarten. Meanwhile, her starcrossed family learns hard lessons of their own.",9781632157119.0
"Saga, Volume 5 (Saga (Collected Editions) #5)",Brian K. Vaughan,Saga DLX Ed Hc,2014,"A child born to parents from opposite sides of a never-ending space war, Hazel is taken on the run by her fugitive family as they risk everything to find a peaceful future in a harsh universe.",9781632150783.0
Reskilling America: Learning to Labor in the Twenty-First Century,"Katherine S. Newman, Hella Winston",Macmillan + ORM,2016-04-19,"From Katherine Newman, award-winning author of No Shame in My Game, and sociologist Hella Winston, a sharp and irrefutable call to reenergize this nation's long-neglected system of vocational training After decades of off-shoring and downsizing that have left blue collar workers obsolete and stranded, the United States is now on the verge of an industrial renaissance. Companies like Apple, BMW, Bosch, and Volkswagen are all opening plants and committing millions of dollars to build products right here on American soil. The only problem: we don't have a skilled enough labor pool to fill these positions, which are in many cases technically demanding and require specialized skills. A decades-long series of idealistic educational policies with the expressed goal of getting every student to go to college has left a generation of potential workers out of the system. Touted as a progressive, egalitarian institution providing opportunity even to those with the greatest need, the American secondary school system has in fact deepened existing inequalities, leaving behind millions of youth, especially those who live in the de-industrialized Northeast and Midwest, without much of a future at all. We can do better, argue acclaimed sociologists Katherine Newman and Hella Winston. Taking a page from the successful experience of countries like Germany and Austria, where youth unemployment is a mere 7%, they call for a radical reevaluation of the idea of vocational training, long discredited as an instrument of tracking. The United States can prepare a new, high-performance labor force if we revamp our school system to value industry apprenticeship and rigorous technical education. By doing so, we will not only be able to meet the growing demand for skilled employees in dozens of sectors where employers decry the absence of well trained workers -- we will make the American Dream accessible to all.",9781627793292.0
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",Kurtis J. Wiebe,Image Comics,2016-04-19,"Having survived the end of the world, the Queens follow Hannah back to where it all began: Mage University. A long perilous journey awaits the Rat Queens as they attempt to find out what happened to Hannah's father while battling their own demons. Collects RAT QUEENS #11-15",9781632157355.0
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",Akiko Higashimura,National Geographic Books,2016-03-22,"New York Times bestseller! Named by the American Library Association and the New York Public Library as one of the top young adult books of the year! THE LONG-AWAITED STORY OF FANGIRLS TAKING ON TOKYO! Special large-size 2-in-1 edition of over 400 pages! ""One of the best anime and manga for beginners. Enthusiasm - geeky and otherwise - is power in Princess Jellyfish. Enthusiasm saves the day and paves the road to the future."" - Kotaku ""Princess Jellyfish's ambition is simple: to tell a delightful story in a delightful way... It's a pretty deadly one-two punch."" - Anime News Network ""Loaded with heart, soul, humor and insight."" - About.com STINGING BEAUTY Tsukimi Kurashita has a strange fascination with jellyfish. She’s loved them from a young age and has carried that love with her to her new life in the big city of Tokyo. There, she resides in Amamizukan, a safe-haven for girl geeks who regularly gush over a range of things from trains to Japanese dolls. However, a chance meeting at a pet shop has Tsukimi crossing paths with one of the things that the residents of Amamizukan have been desperately trying to avoid—a beautiful and fashionable woman! But there’s much more to this woman than her trendy clothes! This odd encounter is only the beginning of a new and unexpected path for Tsukimi and her friends.",9781632362285.0
Princess Between Worlds (Wide-Awake Princess #5),E.D. Baker,Bloomsbury Publishing USA,2017-03-21,"Now in paperback, the fifth book in the wildly popular Wide-Awake Princess series is brimming with E. D. Baker's signature fantasy, humor, and unique spin on fairy-tales.",9781681192796.0
"Pop Gun War, Volume 1: Gift",Farel Dalrymple,Image Comics,2016-05-11,"POP GUN WAR is about childhood, self-discovery, oppression, guilt, dreams, loneliness, whatever, and an inner city boy named Sinclair, who discovers a pair of discarded angel wings. With these wings, Sinclair flies around the city and gets into adventures.",9781632159731.0
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",Dr. Aaron T. Walter,Lulu.com,N/A,N/A,9781365317958.0
Patience,Julius B. Fleming Jr.,NYU Press,2022-03-29,"""This book argues that, since transatlantic slavery, patience has been used as a tool of anti-black violence and political exclusion, but shows how during the Civil Rights Movement black artists and activists used theatre to demand ""freedom now,"" staging a radical challenge to this deferral of black freedom and citizenship""--",9781479806843.0
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",Robert Kirkman,Image Comics,2015-09-09,'CLOSE TO HOME' Our second story arc draws to a close as things spiral even more out of control. Kyle's attempts to set his life straight seem to just keep pulling him deeper and deeper into darkness.,N/A
